,0,1
0,1532171236570189825,
1,1532170904863707137,
2,1532170787582578691,
3,1532170526994714624,
4,1532170413303812101,
5,1532170402998456326,
6,1532170200711307266,
7,1532170193228775426,
8,1532169688599371776,
9,1532169620861472768,
10,1532169206183100416,
11,1532168995608092672,
12,1532167668844879872,
13,1532167470185840641,
14,1532167466146734080,
15,1532167343748415488,
16,1532167283002552322,
17,1532167014877470721,
18,1532166267980943360,
19,1532165987373568001,
20,1532165928724615170,
21,1532165836529704961,
22,1532165283191848961,
23,1532165123137208320,
24,1532165006070005761,
25,1532164913497575424,
26,1532164713966018560,
27,1532164393135374339,
28,1532164299283628033,
29,1532164010111651840,
30,1532164008505389056,
31,1532163381020332032,
32,1532163094583156736,"Place(_api=None, id='1db4f0a70fc5c9db', url='https://api.twitter.com/1.1/geo/id/1db4f0a70fc5c9db.json', place_type='city', name='Bath', full_name='Bath, England', country_code='GB', country='United Kingdom', contained_within=[], bounding_box=BoundingBox(_api=None, type='Polygon', coordinates=[[[-2.4113744, 51.350545], [-2.322492, 51.350545], [-2.322492, 51.408754], [-2.4113744, 51.408754]]]), attributes={})"
33,1532162771059548160,
34,1532162586761957377,
35,1532162553283059712,
36,1532162474535014400,
37,1532162286227443715,
38,1532161767522058241,
39,1532161730494734336,
40,1532161630938726403,
41,1532161232865722368,
42,1532161145909526535,
43,1532160994474086401,
44,1532160940275388419,
45,1532160867739000832,
46,1532160701871038465,
47,1532160689959223300,
48,1532160425508356097,
49,1532160353882210304,
50,1532160291819094024,
51,1532160220226633728,
52,1532160113850589184,
53,1532159712795426817,
54,1532159155137654784,
55,1532158852090716161,
56,1532158710478422018,
57,1532158655667310593,
58,1532158370865635328,
59,1532158165332201472,"Place(_api=None, id='791e00bcadc4615f', url='https://api.twitter.com/1.1/geo/id/791e00bcadc4615f.json', place_type='city', name='Glasgow', full_name='Glasgow, Scotland', country_code='GB', country='United Kingdom', contained_within=[], bounding_box=BoundingBox(_api=None, type='Polygon', coordinates=[[[-4.3932845, 55.796184], [-4.0902182, 55.796184], [-4.0902182, 55.9204214], [-4.3932845, 55.9204214]]]), attributes={})"
60,1532158054384513025,
61,1532158026408411137,
62,1532157209848717312,
63,1532157077505945600,
64,1532157051945816067,
65,1532157027694280704,
66,1532156337974648833,
67,1532155847933153280,
68,1532155454041862144,
69,1532155279852306434,
70,1532155069944184832,
71,1532154959600525314,
72,1532154837718257669,
73,1532154811822624770,
74,1532154719438872576,
75,1532154211374350336,
76,1532154079912382465,
77,1532154003685007360,
78,1532153935557017601,
79,1532153561009864706,
80,1532153545386074113,
81,1532152806307774464,
82,1532152795008221190,
83,1532151951986761730,
84,1532151745581039616,
85,1532151499551285248,
86,1532151291903889408,
87,1532151180704587777,
88,1532151107312570368,
89,1532150989985394688,
90,1532150978123800577,
91,1532150903213539328,
92,1532150889934475266,
93,1532150810167189504,
94,1532150633175953420,
95,1532150579816026112,
96,1532150554847240192,
97,1532150551022030849,
98,1532150352186953728,
99,1532150095290019840,
